,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Out door direct seed,,,✩,,,,,Out door cold start,,,,,,,,Indoor cube,,,,,,,,Indoor Cluster,,,,,,,,Indoor pot,,,,,,,,Transplant,,,❧,,,,,,
Family,Genus,Species,Common Name,Variety,HERITAGE,,,Servings in a week,Plants per a serving,Grow Room,Weeks in cold  storage,Number of Frozen Servings,Dried servings,Fermented,Canned,Cooking ,Life cycle (zone 3),Germinating,Growing,Harvest ,Spring,Fall,Soil,PH,Moisture,Light,Distance between plants,Distance between rows,Seed Depth,Irrigation,Fertilizer,Flat,Cold start,Succession rate,Cold start date,Cubes,Indoor start date,Outdoors start date,Last out door planting,,January,,,,February,,,,March,,,,April,,,,May,,,,June,,,,July,,,,August,,,,September,,,,October,,,,November,,,,December,,,,Transplanting,Days to maturity
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,,
Amaranthaceae,Beta,vulgaris,Beet,BULL’S BLOOD,OP,Harmonic Herbs,n/a,0.25,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1/2”,n/a,n/a,n/a,n/a,0.5,n/a,n/a,n/a,15 May,15 June,Every 2 weeks,,,,,,,,,,,,,,,,,,,✩,,✩,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,n/a
Amaranthaceae,Beta,vulgaris,Swiss Chard,CELEBRATION,OP,West Coast Seeds,SW753,1,0.25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"They have large tap roots that don’t like being disturbed, so don’t transplant",n/a,n/a,n/a,Loose deep fertile soil. With lots of organic matter.,n/a,Plenty of consistent moisture.,Full sun in spring. Part shade in summer.,Sew densely. Eventually thinning to 6-12” apart. Use thinned chard for salads etc.,18” part,1/2”,n/a,n/a,n/a,n/a,0.5,n/a,n/a,n/a,15 May,15 August,Every 2 weeks,,,,,,,,,,,,,,,,,,,✩,,✩,,✩,,✩,,✩,,✩,,✩,,,,,,,,,,,,,,,,,,n/a,60
Amaranthaceae,Beta,vulgaris,Swiss Chard,SILVERADO,F1,West Coast Seeds,SW751,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,n/a,n/a,n/a,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,50
Amaranthaceae,Spinacia,oleracea,Spinach,BLOOMSDALE DARK GREEN,OP,Wild Rose Heritage Seed,n/a,1,0.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Annual,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6”,24-36”,1”,n/a,n/a,n/a,Every 1/2”.  3” between rows,1.0,Mar 1,n/a,n/a,15 April,n/a,n/a,,,,,,,,,✪,,,,,,✩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,55-70
Amaryllidaceae,Allium,ampeloprasum,Leeks,LANCIA,OP,West Coast Seeds,LK446,2,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Can be harvested immature for baby leeks,n/a,n/a,n/a,n/a,High,n/a,6-8”,18”,1/4”,n/a,1/4 to 1/2 cup of balanced fertilizer in each 2m of furrow.  Lots of compost,Sew every half inch 3” between rows,Sew every half inch 3” between rows,0.5,Mar 1,n/a,01 March,15 April,30 June,Every 2 weeks,,,,,,,,,❖✪,,❖,,❖,,❖,,❖,,❖,,✩,,✩,,,,,,,,,,,,,,,,,,,,,,,,,,Transplant when 8” tall. Make holes 6” deep and cover with soil up to the first leaf notch. Leave the rest of the hole unfilled,90
Amaryllidaceae,Allium,cepa,Scallions,KINCHO,OP,West Coast Seeds,ON569,n/a,,Y,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,n/a,n/a,01 March,,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,50
Amaryllidaceae,Allium,fistulosum,Scallions,IPPON NEGI,OP,West Coast Seeds,ON588,2,2,Y,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Start in trench and hill up to increase white area at the base of the stem.,Keep a plant every 8” to overwinter. Start harvesting when they reach 6”,"Pull up bunches, split up and replant.",Mulch over remaining onions,"Fertile, Well drained",n/a,"High, in the top 8 to 12” of soil",n/a,1-2”,6”,n/a,n/a,n/a,Sew every 1/2” rows 3” apart,Sew every 1/2” rows 3” apart,0.5,Mar 1,5-10 seeds per a block,01 March,15 April,30 August,Every 2 weeks,,,,,,,,,✪,,,,,,✩,,✩,,✩,,✩,,✩,,✩,,✩,,✩,,✩,,,,,,,,,,,,,,,,,,n/a,80
Amaryllidaceae,Allium,tuberosum,Garlic Chives,LION’S MANE,n/a,West Coast Seeds,HR1071,3,2,Y,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Well drained,n/a,Moist,Full sun,6”,12”,n/a,n/a,Fertile,Sew every 1/2” rows 3” apart,Sew every 1/2” rows 3” apart,1.0,Mar 1,5-10 seeds per a block ,01 March,n/a,30 June,n/a,,,,,❖,,❖,,❖✪,,❖,,❖,,✩,,✩,,✩,,✩,,✩,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,n/a
Amaryllidaceae,Allium,cepa,Onions (storage),n/a,n/a,n/a,n/a,3,2,n/a,16,n/a,n/a,n/a,n/a,Bitter at high heat. Saute at low heat.,n/a,n/a,Well drained soil,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Sew every half inch 3” between rows,Can be sown 1 cm apart in rows 3” apart. Start March 1st.,1.0,Mar 1,3 seeds for a block. Don’t thin. Max 8hrs of light a day.,n/a,n/a,n/a,n/a,,,,,❖,,❖,,❖✪,,❖,,❖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plant 2-3 per a hole,n/a
Apiaceae,Anethum,graveolens,Dill,ELLA,n/a,West Coast Seeds,HR1024,1,0.5,Y,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Doesn’t transplant well,Edible seeds and greens,n/a,n/a,n/a,n/a,n/a,n/a,6”,18”,1/4”,n/a,n/a,n/a,n/a,0.5,n/a,n/a,n/a,15 May,15 August,Every 2 weeks,,,,,,,,,,,,,,,,,,,✩,,✩,,✩,,✩,,✩,,✩,,,,,,,,,,,,,,,,,,,,n/a,n/a
Apiaceae,Apium ,graveolens,Celeriac,GIANT PRAGUE,OP,Heritage Harvest Seeds,n/a,0.25,,n/a,3 months,n/a,n/a,n/a,n/a,n/a,Anual,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Adequate moisture,Full Sun,n/a,n/a,1/4”,n/a,n/a,n/a,n/a,1.0,n/a,1 seed per a block,01 March,,n/a,n/a,,,,,,,,,,,◼︎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,n/a
Apiaceae,Coriandrum,sativum,Cilantro,SLOW-BOLT,n/a,Renee’s Garden,n/a,3,0.25,Y,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Keep moist until seeds have germinated.,Direct sew in pots or in the ground as it doesnt like to be transplanted,n/a,n/a,n/a,Well drained fertile soil.,n/a,Moist,Full sun, 2” and then thin to 4” as plants grow,8”,1/4”,n/a,n/a,n/a,n/a,0.5,n/a,n/a,n/a,01 May,15 August,Every 2 weeks,,,,,,,,,,,,,,,,,✩,,✩,,✩,,✩,,✩,,✩,,✩,,,,,,,,,,,,,,,,,,,,n/a,80
Apiaceae,Daucus,carota,Carrots,DANVERS,OP,West Coast Seeds,CR 280,3,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Water deeply prior to seeding. Water regularly to maintain moist soil during germination,n/a,n/a,n/a,n/a,"Rich well drained, deeply cultivated soil.",6-6.8,n/a,n/a,1.5-4” apart when seedlings are 1” tall,n/a,1/4” (firm the soil),n/a,n/a,n/a,n/a,0.5,n/a,n/a,n/a,15 May,30 July,Every 2 weeks,,,,,,,,,,,,,,,,,,,✩,,✩,,✩,,✩,,✩,,,,,,,,,,,,,,,,,,,,,,n/a,70
Apiaceae,Eryngium,foetidum,Culantro,SAWTOOTH HERB,HR1176,West Coast Seeds,n/a,0.25,0.25,n/a,n/a,n/a,n/a,n/a,n/a,Puree ,n/a,n/a,Cut the seed/flower stalks as they appear to extend the life of the plant. If the plant flowers the leaves will become tough. ,Pick leaves from the outside.,n/a,n/a,Well drained,n/a,Moist,Thrives in full sun but might be more productive in the long run in part shade.,n/a,n/a,Surface,n/a,Rich,n/a,n/a,1.0,n/a,2 seed per a block. Thin to one,01 March,n/a,n/a,n/a,,,,,,,,,◼︎,,,,,,,,,,,,❧,,❧,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,n/a
Apiaceae,Foeniculum,vulgare,Fennel,SELMA FINO,OP,West Coast Seeds,HR1089,0.25,0.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Grow far away from other plants,n/a,n/a,n/a,n/a,n/a,Keep soil moist until plants are established. Direct sew only.,n/a,12”,12”,1/2”,n/a,n/a,n/a,n/a,1.0,n/a,n/a,n/a,01 May,n/a,n/a,,,,,,,,,,,,,,,◼︎,,◼︎,,◼︎,,◼︎,,✩,,✩,,,,,,,,,,,,,,,,,,,,,,,,n/a,80
Asteraceae,Glebionis,coronaria,Shungiku,EDIBLE CHRYSANTHEMUM,OP,West Coast Seeds,MU534,0.5,0.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Baby leaves are more tender older leaves are good for stir-fries and soups,n/a,n/a,"Relatively fertile, well drained",n/a,n/a,Full sun,8”,12”,1/2”,n/a,n/a,n/a,Try,0.5,Mar 1,2 seeds per a cube thin to one,n/a,15 April,15 September,Every 2 weeks,,,,,,,,,✪,,,,,,✩,,✩,,✩,,✩,,✩,,✩,,✩,,✩,,✩,,✩,,,,,,,,,,,,,,,,n/a,45
Asteraceae,Helianthus,annus,Sunflower,RUSSIAN MAMMOTH,n/a,West Coast Seeds,FL3228,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Anual,n/a,n/a,"When the backs of the seed heads turn yellow in the fall, cut them off the plant. Rub the seeds loose and dry them indoors on trays.",n/a,n/a,n/a,n/a,n/a,n/a,6” thin to 12”,n/a,1”,n/a,"1-2 cups fertilizer per 10’ row. When plants are 12” tall, dissolve 5ml borax in 350ml water and spread over 15’ of row to supply enough boron to help the seeds develop in the big seed heads.",n/a,n/a,1.0,n/a,n/a,n/a,01 June,n/a,n/a,,,,,,,,,,,,,,,,,,,,,✩,,✩,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,n/a
Asteraceae,Lactuca,sativa,Lettuce,BLACK SEEDED SIMPSON LETTUCE,OP,Heritage Harvest Seed,n/a,2,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6-6.8,Consistent small amounts to keep it moist without over watering,n/a,6”,12”,1/8”,n/a,Excess nitrogen will make leaves bitter,n/a,Try,0.5,Try,n/a,15 April,01 June,30 September,Every 2 weeks,,,,,,,,,✪,,,,,,◼︎,,◼︎,,◼︎,,✩,,✩,,✩,,✩,,✩,,✩,,,,,,,,,,,,,,,,,,n/a,n/a
Asteraceae,Lactuca,sativa,Lettuce,GARDEN BABIES BUTTERHEAD,n/a,Renee’s Garden,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Consistent,Full sun in spring and fall. Partial shade in summer,5”,n/a,1/4”,n/a,Liquid fertilizer every two weeks,n/a,Try,0.5,Mar 1,n/a,n/a,15 April,30 September,Every 2 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,53-73
